Datum,Last Transaction,Maximum,Minimum,Average,Change,Amount,Total
28.3.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
27.3.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
26.3.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
25.3.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
22.3.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
21.3.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",62.0,620.000
20.3.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
19.3.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
18.3.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
15.3.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
14.3.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
13.3.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
12.3.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",30.0,300.000
11.3.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
08.3.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
07.3.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",400.0,4.000.000
06.3.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
05.3.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",106.0,1.060.000
04.3.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
01.3.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
29.2.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
28.2.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
27.2.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
26.2.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
23.2.2024,"10.000,00","10.000,00","10.000,00","10.000,00","-0,02",110.0,1.100.000
22.2.2024,"10.002,00","10.002,00","10.002,00","10.002,00","-6,52",30.0,300.060
21.2.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
20.2.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
19.2.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
16.2.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
15.2.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
14.2.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
13.2.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
12.2.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
09.2.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
08.2.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
07.2.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
06.2.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
05.2.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
02.2.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
01.2.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
31.1.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
30.1.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
29.1.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
26.1.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
25.1.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
24.1.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
23.1.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
22.1.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
18.1.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
17.1.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
16.1.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
15.1.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
12.1.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
11.1.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
10.1.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
09.1.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
05.1.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
04.1.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
03.1.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
02.1.2024,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
28.12.2023,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
28.12.2023,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
27.12.2023,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
26.12.2023,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
25.12.2023,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
22.12.2023,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
21.12.2023,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
20.12.2023,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
19.12.2023,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
18.12.2023,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
15.12.2023,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
14.12.2023,"10.700,00","10.700,00","10.700,00","10.700,00","0,00",0.0,0
13.12.2023,"10.700,00","10.700,00","10.700,00","10.700,00","-1,38",9.0,96.300
12.12.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
11.12.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
07.12.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
06.12.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
05.12.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
04.12.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
01.12.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
30.11.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
29.11.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
28.11.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
27.11.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
24.11.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
23.11.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
22.11.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
21.11.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
20.11.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
17.11.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
16.11.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
15.11.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
14.11.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
13.11.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
10.11.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
09.11.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
08.11.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
07.11.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
06.11.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
03.11.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
02.11.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
01.11.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
31.10.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
30.10.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
27.10.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
26.10.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
25.10.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
24.10.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
20.10.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
19.10.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
18.10.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
17.10.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
16.10.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
13.10.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
12.10.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
10.10.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
09.10.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
06.10.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
05.10.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
04.10.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
03.10.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
02.10.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
29.9.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
28.9.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
27.9.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
26.9.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
25.9.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
22.9.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
21.9.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
20.9.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
19.9.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
18.9.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
15.9.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
14.9.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
13.9.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
12.9.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
11.9.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
07.9.2023,"10.850,00","10.850,00","10.850,00","10.850,00","0,00",0.0,0
06.9.2023,"10.850,00","10.850,00","10.850,00","10.850,00","-1,36",30.0,325.500
05.9.2023,"11.000,00","11.000,00","11.000,00","11.000,00","0,00",0.0,0
04.9.2023,"11.000,00","11.000,00","11.000,00","11.000,00","0,00",0.0,0
01.9.2023,"11.000,00","11.000,00","11.000,00","11.000,00","0,00",0.0,0
31.8.2023,"11.000,00","11.000,00","11.000,00","11.000,00","0,00",0.0,0
30.8.2023,"11.000,00","11.000,00","11.000,00","11.000,00","0,00",0.0,0
29.8.2023,"11.000,00","11.000,00","11.000,00","11.000,00","0,00",0.0,0
