Datum,Posledna Transakcija,Maksimum,Minimum,Prosechna,Kolicina,Total
2023-05-05,18101.0,18201.0,18099.0,18149.72,-0.09,248.0
2023-05-05,722.0,0.0,0.0,722.0,0.0,0.0
2023-05-04,18151.0,18200.0,18150.0,18165.33,-0.33,214.0
2023-05-04,722.0,0.0,0.0,722.0,0.0,0.0
2023-05-03,18201.0,18300.0,18110.0,18225.25,0.15,142.0
2023-05-03,722.0,0.0,0.0,722.0,0.0,0.0
2023-05-02,18350.0,18350.0,18099.0,18198.43,0.61,142.0
2023-05-02,722.0,0.0,0.0,722.0,0.0,0.0
2023-04-28,722.0,0.0,0.0,722.0,0.0,0.0
2023-04-28,18080.0,18100.0,18000.0,18088.16,0.36,38.0
2023-04-27,18050.0,18050.0,17799.0,18024.06,1.9,234.0
2023-04-27,722.0,0.0,0.0,722.0,0.0,0.0
2023-04-26,17501.0,17800.0,17500.0,17688.19,0.68,21.0
2023-04-26,722.0,0.0,0.0,722.0,0.0,0.0
2023-04-25,17580.0,17580.0,17450.0,17569.17,-0.09,12.0
2023-04-25,722.0,0.0,0.0,722.0,0.0,0.0
2023-04-24,722.0,0.0,0.0,722.0,0.0,0.0
2023-04-24,17500.0,17601.0,17500.0,17585.57,-0.91,61.0
2023-04-20,722.0,0.0,0.0,722.0,0.0,0.0
2023-04-20,17700.0,17800.0,17700.0,17746.61,-0.11,28.0
2023-04-19,722.0,0.0,0.0,722.0,0.0,0.0
2023-04-19,17690.0,17800.0,17690.0,17767.0,-2.54,10.0
2023-04-18,722.0,0.0,0.0,722.0,0.0,0.0
2023-04-18,18002.0,18250.0,18002.0,18229.5,0.14,50.0
2023-04-13,722.0,0.0,0.0,722.0,0.0,0.0
2023-04-13,18200.0,18215.0,18200.0,18203.63,-0.3,62.0
2023-04-12,722.0,0.0,0.0,722.0,0.0,0.0
2023-04-12,18215.0,18300.0,18215.0,18258.52,0.24,181.0
2023-04-11,722.0,0.0,0.0,722.0,0.0,0.0
2023-04-11,18300.0,18300.0,18100.0,18215.61,-0.49,229.0
2023-04-10,18099.0,18400.0,18099.0,18306.09,1.27,193.0
2023-04-10,722.0,0.0,0.0,722.0,0.0,0.0
2023-04-07,722.0,0.0,0.0,722.0,0.0,0.0
2023-04-07,18100.0,18150.0,18000.0,18076.04,0.44,192.0
2023-04-06,18000.0,18000.0,17902.0,17997.51,0.01,426.0
2023-04-06,722.0,0.0,0.0,722.0,0.0,0.0
2023-04-05,17999.0,18000.0,17902.0,17995.86,-0.02,219.0
2023-04-05,722.0,0.0,0.0,722.0,0.0,0.0
2023-04-04,17901.0,18000.0,17901.0,17999.53,0.26,406.0
2023-04-04,722.0,0.0,0.0,722.0,0.0,0.0
2023-04-03,17999.0,18000.0,17900.0,17953.2,0.22,76.0
2023-04-03,722.0,0.0,0.0,722.0,0.0,0.0
2023-03-31,17998.0,17998.0,17901.0,17914.64,-0.31,50.0
2023-03-31,722.0,0.0,0.0,722.0,0.0,0.0
2023-03-30,722.0,0.0,0.0,722.0,0.0,0.0
2023-03-30,17920.0,18000.0,17920.0,17969.73,0.15,185.0
2023-03-29,722.0,0.0,0.0,722.0,0.0,0.0
2023-03-29,18000.0,18000.0,17925.0,17943.53,0.1,266.0
2023-03-28,722.0,0.0,0.0,722.0,0.0,0.0
2023-03-28,17900.0,18000.0,17900.0,17925.29,0.14,48.0
2023-03-27,722.0,0.0,0.0,722.0,0.0,0.0
2023-03-27,17900.0,17900.0,17900.0,17900.0,0.92,14.0
